[INFO ] 2024-07-22 17:13:52.740 [main] Prueba - El fichero C:\GITHUB\DISDEN\TANGO\JAVA\lee\ex1.xls existe
[TRACE] 2024-07-22 17:13:53.354 [main] InternalWorkbook - found format record at 72
[TRACE] 2024-07-22 17:13:53.354 [main] InternalWorkbook - found XF record at 73
[TRACE] 2024-07-22 17:13:53.354 [main] InternalWorkbook - found XF record at 74
[TRACE] 2024-07-22 17:13:53.354 [main] InternalWorkbook - found XF record at 75
[TRACE] 2024-07-22 17:13:53.354 [main] InternalWorkbook - found XF record at 76
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 77
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 78
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 79
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 80
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 81
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 82
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 83
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 84
[TRACE] 2024-07-22 17:13:53.355 [main] InternalWorkbook - found XF record at 85
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 86
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 87
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 88
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 89
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 90
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 91
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 92
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 93
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 94
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 95
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 96
[TRACE] 2024-07-22 17:13:53.356 [main] InternalWorkbook - found XF record at 97
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 98
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 99
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 100
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 101
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 102
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 103
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 104
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 105
[TRACE] 2024-07-22 17:13:53.357 [main] InternalWorkbook - found XF record at 106
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 107
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 108
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 109
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 110
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 111
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 112
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 113
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 114
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 115
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 116
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 117
