[INFO ] 2024-08-02 12:07:49.403 [main] SharedLogger - Producto{codigo='ADH00002', lista=3, moneda='Corriente', precio=18900.0}
[INFO ] 2024-08-02 12:07:49.403 [main] SharedLogger - Producto{codigo='ADH00002', lista=4, moneda='Corriente', precio=18900.0}
[INFO ] 2024-08-02 12:07:49.404 [main] SharedLogger - Producto{codigo='ADH00004', lista=3, moneda='Corriente', precio=55000.0}
[INFO ] 2024-08-02 12:07:49.404 [main] SharedLogger - Producto{codigo='ADH00004', lista=4, moneda='Corriente', precio=55000.0}
[INFO ] 2024-08-02 12:07:49.404 [main] SharedLogger - Producto{codigo='ADH00005', lista=3, moneda='Corriente', precio=85000.0}
[INFO ] 2024-08-02 12:07:49.404 [main] SharedLogger - Producto{codigo='ADH00005', lista=4, moneda='Corriente', precio=85000.0}
[INFO ] 2024-08-02 12:07:49.404 [main] SharedLogger - Producto{codigo='ADH00007', lista=3, moneda='Corriente', precio=25900.0}
[INFO ] 2024-08-02 12:07:49.404 [main] SharedLogger - Producto{codigo='ADH00014', lista=3, moneda='Corriente', precio=16900.0}
[INFO ] 2024-08-02 12:07:49.405 [main] SharedLogger - Producto{codigo='ADH00017', lista=3, moneda='Corriente', precio=55000.0}
[INFO ] 2024-08-02 12:07:49.405 [main] SharedLogger - Producto{codigo='ADH00017', lista=4, moneda='Corriente', precio=55000.0}
[INFO ] 2024-08-02 12:07:49.405 [main] SharedLogger - Producto{codigo='AGU00001', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.405 [main] SharedLogger - Producto{codigo='AGU00001', lista=4, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.406 [main] SharedLogger - Producto{codigo='AGU00002', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.406 [main] SharedLogger - Producto{codigo='AGU00002', lista=4, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.406 [main] SharedLogger - Producto{codigo='AGU00003', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.406 [main] SharedLogger - Producto{codigo='AGU00003', lista=4, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.406 [main] SharedLogger - Producto{codigo='AGU00004', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.406 [main] SharedLogger - Producto{codigo='AGU00004', lista=4, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.407 [main] SharedLogger - Producto{codigo='AGU00026', lista=3, moneda='Corriente', precio=8500.0}
[INFO ] 2024-08-02 12:07:49.407 [main] SharedLogger - Producto{codigo='AGU00026', lista=4, moneda='Corriente', precio=8500.0}
[INFO ] 2024-08-02 12:07:49.407 [main] SharedLogger - Producto{codigo='AGU00027', lista=3, moneda='Corriente', precio=8500.0}
[INFO ] 2024-08-02 12:07:49.407 [main] SharedLogger - Producto{codigo='AGU00027', lista=4, moneda='Corriente', precio=8500.0}
[INFO ] 2024-08-02 12:07:49.407 [main] SharedLogger - Producto{codigo='AGU00028', lista=3, moneda='Corriente', precio=3500.0}
[INFO ] 2024-08-02 12:07:49.408 [main] SharedLogger - Producto{codigo='AGU00028', lista=4, moneda='Corriente', precio=3500.0}
[INFO ] 2024-08-02 12:07:49.408 [main] SharedLogger - Producto{codigo='AGU00089', lista=3, moneda='Corriente', precio=29000.0}
[INFO ] 2024-08-02 12:07:49.408 [main] SharedLogger - Producto{codigo='AGU00089', lista=4, moneda='Corriente', precio=29000.0}
[INFO ] 2024-08-02 12:07:49.408 [main] SharedLogger - Producto{codigo='AGU00090', lista=3, moneda='Corriente', precio=29000.0}
[INFO ] 2024-08-02 12:07:49.408 [main] SharedLogger - Producto{codigo='AGU00090', lista=4, moneda='Corriente', precio=29000.0}
[INFO ] 2024-08-02 12:07:49.409 [main] SharedLogger - Producto{codigo='AGU00093', lista=3, moneda='Corriente', precio=29000.0}
[INFO ] 2024-08-02 12:07:49.409 [main] SharedLogger - Producto{codigo='AGU00093', lista=4, moneda='Corriente', precio=29000.0}
[INFO ] 2024-08-02 12:07:49.409 [main] SharedLogger - Producto{codigo='AGU00107', lista=3, moneda='Corriente', precio=77000.0}
[INFO ] 2024-08-02 12:07:49.409 [main] SharedLogger - Producto{codigo='AGU00107', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.409 [main] SharedLogger - Producto{codigo='AGU00108', lista=3, moneda='Corriente', precio=77000.0}
[INFO ] 2024-08-02 12:07:49.409 [main] SharedLogger - Producto{codigo='AGU00108', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.410 [main] SharedLogger - Producto{codigo='AGU00109', lista=3, moneda='Corriente', precio=77000.0}
[INFO ] 2024-08-02 12:07:49.410 [main] SharedLogger - Producto{codigo='AGU00109', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.410 [main] SharedLogger - Producto{codigo='AGU00111', lista=3, moneda='Corriente', precio=75000.0}
[INFO ] 2024-08-02 12:07:49.410 [main] SharedLogger - Producto{codigo='AGU00111', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.410 [main] SharedLogger - Producto{codigo='AGU00112', lista=3, moneda='Corriente', precio=75000.0}
